city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary_high,salary_low,workYear,Salary
北京,北京弘合柏基金融信息服务有限责任公司,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",500-2000人,硕士,C轮,产品/需求/项目类,金融,全职,39.979691,116.312978,"大牛多,平台大,团队友好,气氛活跃",4112766,"['理财', '大数据', '数据挖掘']",数据分析师（理财端）,15,25,1-3年,20000
上海,上海钧正网络科技有限公司,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",500-2000人,本科,D轮及以上,产品/需求/项目类,"移动互联网,硬件",全职,31.12276,121.363974,"年底双薪,D+轮融资",4023293,"['高级', '大数据', '商业', '业务运营']",资深数据分析师,15,30,3-5年,22500
北京,北京三快在线科技有限公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,本科,D轮及以上,运营/编辑/客服,"移动互联网,O2O",全职,31.217836,121.417969,"独角兽企业,免费班车",4112821,"['硬件制造', '大数据', 'SPSS']",数据分析专员,10,15,1-3年,12500
上海,广东鸿特普惠信息服务有限公司,"['年底双薪', '带薪年假', '美女多', '五险一金']",2000人以上,本科,D轮及以上,开发/测试/运维类,金融,全职,31.211843,121.596821,"双休,五险一金,年终奖,旅游",3580369,"['金融', '数据挖掘', '大数据', 'SPSS', 'sas']",数据分析岗,6,12,1-3年,9000
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,本科,上市公司,技术,金融,全职,39.82198934,116.5211776,餐补+年终奖+良好的晋升空间,635332,"['支付', '数据挖掘']",数据分析,15,30,3-5年,22500
北京,蓝港在线（北京）科技有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",500-2000人,本科,上市公司,产品/需求/项目类,游戏,全职,40.01206006,116.47493,游戏数据分析 游戏行业分析 SPSS,3891186,"['社交', '资深', '高级', '游戏开发', '数值']",游戏数据分析师,10,20,3-5年,15000
上海,上海画龙信息科技有限公司,"['年底四薪', '股票期权', '带薪年假', '五险一金']",15-50人,本科,A轮,产品/需求/项目类,"数据服务,广告营销",全职,31.187368,121.430795,"大数据公司,硅谷团队,股票期权,带薪假期",2547009,"['大数据', 'R', 'python']",高级商业数据分析师,15,30,5-10年,22500
上海,上海钧正网络科技有限公司,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",500-2000人,大专,D轮及以上,产品/需求/项目类,"移动互联网,硬件",全职,31.122746,121.363896,"发展空间大,福利多,弹性时间",3875556,"['金融', 'SPSS', 'sas']",数据分析（上海）,5,9,1年以下,7000
上海,上海拿米金融信息服务有限公司,"['年底双薪', '股票期权', '带薪年假', '通讯津贴']",150-500人,本科,不需要融资,开发/测试/运维类,"移动互联网,金融",全职,31.171432,121.410559,"五险一金,环境好,福利好",3958296,"['金融', '建模', '数据挖掘']",大数据分析工程师—数据分析师,20,35,3-5年,27500
上海,上海触乐信息科技有限公司,"['管理扁平', '发展空间大', '行业独角兽', '带薪年假病假']",150-500人,本科,D轮及以上,运营/编辑/客服,"移动互联网,数据服务",全职,31.172406,121.393969,"11亿用户,行业独角兽,发展空间大,福利待遇佳",4098849,"['电商', '广告营销', '海外', '产品']",商业化运营经理（数据分析）,15,30,1-3年,22500
北京,北京真格天成投资管理有限公司,[],50-150人,本科,不需要融资,开发/测试/运维类,金融,全职,39.831812,116.3039,"人工智能,大数据,五险一金,大平台",4050213,"['金融', '社交', '借贷', '建模']",高级数据分析师-真格基金投资企业（罗马车贷）,25,35,3-5年,30000
上海,鼎必程（上海）信息技术有限公司,"['年底双薪', '带薪年假', '定期体检', '交通补助']",50-150人,本科,B轮,产品/需求/项目类,金融,全职,31.183898,121.475215,"发展空间大,弹性工作,免费班车,无限零食",3928874,"['资深', '大数据', '数据挖掘']",数据分析师,10,20,1-3年,15000
北京,北京趣拿软件科技有限公司,"['技能培训', '节日礼物', '带薪年假', '无息住房贷款']",2000人以上,本科,上市公司,产品/需求/项目类,移动互联网,全职,39.979387,116.311857,弹性工作时间 带薪假期,3633438,"['旅游', '数据挖掘', '建模', 'R']",高级产品经理（数据分析方向）-攻略事业部,15,30,3-5年,22500
上海,百联全渠道电子商务有限公司,"['节日礼物', '岗位晋升', '五险一金', '午餐补助']",500-2000人,本科,不需要融资,市场/商务/销售类,"电子商务,O2O",全职,30.994061,120.993464,"国企,氛围",3598669,"['金融', '数据挖掘', 'SPSS', 'sas']",业务数据分析,15,30,3-5年,22500
