city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary,workYear
北京,北京首都在线科技股份有限公司,"['绩效奖金', '通讯津贴', '定期体检', '带薪年假']",150-500人,本科,上市公司,开发/测试/运维类,移动互联网,全职,39.99426,115.99339,平台好,3919528,"['数据挖掘', 'SPSS']",数据分析师,20k-25k,3-5年
广州,广州市贝聊信息科技有限公司,"['五险一金', '股票期权', '绩效奖金', '弹性工作']",150-500人,本科,B轮,产品/需求/项目类,"移动互联网,教育",全职,23.12153514,113.37336103,技术大牛带你飞，周末双休，部门氛围活跃,4089123,"['大数据', '数据挖掘', 'SQL', 'SPSS', '用户研究']",数据分析师,10k-15k,1-3年
广州,广州小朴熊电子商务有限公司,[],50-150人,大专,未融资,产品/需求/项目类,电子商务,全职,22.981257,113.367394,"数据分析,库存盘点,服装",4039811,"['电商', '业务运营', '运营']",数据分析经理,6k-10k,3-5年
上海,上海方付通商务服务有限公司,"['技能培训', '节日礼物', '岗位晋升', '五险一金']",500-2000人,本科,不需要融资,设计,"移动互联网,金融",全职,31.22457986,121.54909,薪资优待 福利完善,2337314,[],数据分析师,15k-30k,3-5年
北京,腾讯科技(深圳)有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,本科,上市公司,开发/测试/运维类,"移动互联网 ,游戏",全职,39.977178,116.336997,腾讯大平台,3512007,"['大数据', '数据挖掘', 'hadoop']",数据分析开发工程师,15k-30k,3-5年
北京,上海一起作业信息科技有限公司,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",500-2000人,硕士,D轮及以上,产品/需求/项目类,"移动互联网,教育",全职,40.000825,116.486624,"团队好,福利多",3918032,"['商业', '数据挖掘', 'SPSS']",BI数据分析师,10k-20k,1-3年
广州,中邮消费金融有限公司,"['专项奖金', '年终分红', '带薪年假', '定期体检']",500-2000人,本科,未融资,开发/测试/运维类,"移动互联网,金融",全职,23.148924,113.327956,"互联网金融,敏捷开发,项目奖,挑战性工作",4077299,"['信息安全', '资深', '大数据', '数据挖掘']",高级BI数据分析开发,16k-29k,5-10年
杭州,北京网思科平科技有限公司,"['带薪年假', '岗位晋升', '五险一金', '绩效奖金']",50-150人,本科,B轮,开发/测试/运维类,"信息安全,数据服务",全职,0.0,0.0,"专业培训,公司餐补,关系简单",3397381,"['大数据', '数据挖掘']",中级数据分析师,12k-18k,1-3年
北京,富银金融信息服务（北京）有限公司,"['技能培训', '带薪年假', '节日礼金', '周末双休']",50-150人,本科,不需要融资,开发/测试/运维类,金融,全职,39.921179,116.463316,"五险一金,15薪,福利齐全,晋升空间",3694134,"['数据挖掘', 'sas']",数据分析师,13k-25k,3-5年
上海,上海方付通商务服务有限公司,"['技能培训', '节日礼物', '岗位晋升', '五险一金']",500-2000人,本科,不需要融资,产品,"移动互联网,金融",全职,30.994275,121.99341,"六险一金,带薪年假,定期体检,节日福利",2307566,[],高级数据分析专员,20k-40k,3-5年
成都,广东鸿特普惠信息服务有限公司,"['年底双薪', '带薪年假', '美女多', '五险一金']",2000人以上,本科,D轮及以上,开发/测试/运维类,金融,全职,30.631306,104.067586,"双休,五险一金,年终奖,旅游",3871783,"['银行', '数据挖掘', '可视化', 'SPSS', 'sas']",副总裁助理（数据分析经理）,10k-20k,3-5年
上海,上海云兜网络科技有限公司,"['股票期权', '绩效奖金', '岗位晋升', '年度旅游']",50-150人,本科,A轮,产品/需求/项目类,"电子商务,教育",全职,31.242574,121.437768,"五险一金,带薪年假,做五休二,弹性工作",3386312,"['金融', '专员', '大数据', 'SPSS']",BI数据分析,8k-16k,1-3年
上海,拉扎斯网络科技（上海）有限公司,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",2000人以上,本科,D轮及以上,开发/测试/运维类,移动互联网,全职,31.23297317,121.38145144,五险一金 年终奖金 不断发展 弹性工作,3771264,"['数据挖掘', 'SPSS', 'sas']",高级/资深数据分析师,9k-18k,1-3年
杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",150-500人,本科,C轮,产品/需求/项目类,"电子商务,移动互联网",全职,30.277356,120.124444,海量数据库,4078048,"['商业', '大数据', '数据挖掘', '统计']",数据分析师 / 数据科学家,15k-25k,3-5年
成都,成都聚梦科技有限公司,"['年底双薪', '带薪年假', '节日礼物', '五险一金']",50-150人,大专,不需要融资,产品/需求/项目类,游戏,全职,30.586649,104.055698,"五险一金,年底双薪,员工活动,节假日福利",3912352,"['专员', '运营', '大数据', '数据管理']",数据分析,5k-10k,1-3年
杭州,杭州群核信息技术有限公司,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",500-2000人,本科,C轮,开发/测试/运维类,移动互联网,全职,30.293154,120.108647,期权激励、年度旅游、弹性工作、氛围欢乐,3990582,"['大数据', '数据挖掘']",数据分析专家,22k-35k,3-5年
北京,一九零五（北京）网络科技有限公司,"['年底双薪', '节日礼物', '管理规范', '通讯津贴']",150-500人,本科,未融资,产品/需求/项目类,"社交网络,文化娱乐",全职,39.976549,116.354098,五险一金 地铁周边 机会多,4032246,"['视频', '大数据', '数据挖掘']",数据分析师,14k-22k,3-5年
上海,上海晓鹿信息科技有限责任公司,"['带薪年假', '年底双薪', '绩效奖金', '专项奖金']",少于15人,本科,天使轮,开发/测试/运维类,"电子商务,金融",全职,31.266405,121.483455,"五险一金,竞争力薪酬,公司氛围好,快速成长",4051203,"['金融', '量化', '机器学习', '风控建模']",数据分析师,15k-25k,1-3年
